movie,year,timeMin,imdb,metascore,votes,us_grossMillions
The Batman,(2022),176 min,8.0,72        ,"428,095",-
The Northman,(2022),137 min,7.8,82        ,"37,163",-
Everything Everywhere All at Once,(2022),139 min,8.8,82        ,"30,140",#55
K.G.F: Chapter 2,(2022),168 min,9.0,-,"84,473",-
Spider-Man: No Way Home,(2021),148 min,8.4,71        ,"610,941",#99
Dune,(2021),155 min,8.1,74        ,"556,917",-
CODA,(2021),111 min,8.0,74        ,"104,249",-
RRR,(2022),187 min,8.4,87        ,"60,953",-
K.G.F: Chapter 1,(2018),156 min,8.2,-,"71,838",-
The Dark Knight,(2008),152 min,9.0,84        ,"2,549,914",$534.86M
The Ten Commandments,(1956),220 min,7.9,-,"70,104",$93.74M
The Shawshank Redemption,(1994),142 min,9.3,81        ,"2,580,782",$28.34M
Once Upon a Time... In Hollywood,(2019),161 min,7.6,83        ,"685,760",$142.50M
Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        ,"750,844",$317.58M
American Psycho,(2000),102 min,7.6,64        ,"565,208",$15.07M
The Godfather,(1972),175 min,9.2,100        ,"1,776,829",$134.97M
Avengers: Endgame,(2019),181 min,8.4,78        ,"1,045,053",$858.37M
Joker,(I) (2019),122 min,8.4,59        ,"1,185,861",$335.45M
Titanic,(1997),194 min,7.9,75        ,"1,132,150",$659.33M
The Worst Person in the World,(2021),128 min,7.9,90        ,"39,907",-
Interstellar,(2014),169 min,8.6,74        ,"1,724,771",$188.02M
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143 min,8.0,63        ,"1,077,425",$305.41M
The Wolf of Wall Street,(2013),180 min,8.2,75        ,"1,337,654",$116.90M
The Goonies,(1985),114 min,7.7,62        ,"264,736",$61.50M
Batman Begins,(2005),140 min,8.2,70        ,"1,424,221",$206.85M
Knives Out,(2019),130 min,7.9,82        ,"587,838",$165.36M
Zack Snyder's Justice League,(2021),242 min,8.0,54        ,"375,258",-
The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,649,298",$448.14M
Inception,(2010),148 min,8.8,74        ,"2,264,956",$292.58M
Blade Runner 2049,(2017),164 min,8.0,81        ,"538,612",$92.05M
Stand by Me,(1986),89 min,8.1,75        ,"392,685",$52.29M
The Gentlemen,(2019),113 min,7.8,51        ,"311,724",-
Prisoners,(2013),153 min,8.1,70        ,"678,117",$61.00M
Pulp Fiction,(1994),154 min,8.9,94        ,"1,979,967",$107.93M
Thor: Ragnarok,(2017),130 min,7.9,74        ,"694,528",$315.06M
Fight Club,(1999),139 min,8.8,66        ,"2,031,366",$37.03M
Pride & Prejudice,(2005),129 min,7.8,82        ,"287,106",$38.41M
Drive My Car,(2021),179 min,7.6,91        ,"37,598",-
The Lion King,(1994),88 min,8.5,88        ,"1,022,075",$422.78M
Parasite,(2019),132 min,8.5,96        ,"739,664",$53.37M
Jojo Rabbit,(2019),108 min,7.9,58        ,"367,010",$0.35M
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,795,615",$315.54M
Se7en,(1995),127 min,8.6,65        ,"1,583,305",$100.13M
Whiplash,(2014),106 min,8.5,88        ,"806,356",$13.09M
Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"487,177",$190.24M
Inglourious Basterds,(2009),153 min,8.3,69        ,"1,391,527",$120.54M
Taxi Driver,(1976),114 min,8.3,94        ,"794,928",$28.26M
Avatar,(2009),162 min,7.8,83        ,"1,190,261",$760.51M
Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,008,439",$678.82M
Jurassic Park,(1993),127 min,8.2,68        ,"943,675",$402.45M
